player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
91702,670,7,4,12,9,2,TRUE,1,repeated-with-gap
92874,671,1,1,1,1,0,FALSE,0,one-season
92886,672,2,1,2,2,0,FALSE,0,consecutive-repeat
92893,673,1,1,1,1,0,FALSE,0,one-season
92910,674,1,6,6,1,0,FALSE,0,one-season
93000,675,2,4,5,2,0,FALSE,0,consecutive-repeat
93003,676,5,3,7,5,0,FALSE,0,consecutive-repeat
93033,677,1,1,1,1,0,FALSE,0,one-season
94764,678,1,7,7,1,0,FALSE,0,one-season
94828,679,1,4,4,1,0,FALSE,0,one-season
98072,680,1,2,2,1,0,FALSE,0,one-season
101605,681,1,5,5,1,0,FALSE,0,one-season
101635,682,3,1,3,3,0,FALSE,0,consecutive-repeat
101649,683,2,1,3,3,1,TRUE,1,repeated-with-gap
101707,684,1,6,6,1,0,FALSE,0,one-season
101795,685,1,3,3,1,0,FALSE,0,one-season
101847,686,1,3,3,1,0,FALSE,0,one-season
101948,687,1,2,2,1,0,FALSE,0,one-season
105330,688,1,2,2,1,0,FALSE,0,one-season
105376,689,1,5,5,1,0,FALSE,0,one-season
105378,690,1,2,2,1,0,FALSE,0,one-season
105541,691,7,1,9,9,2,TRUE,2,repeated-with-gap
105616,692,1,4,4,1,0,FALSE,0,one-season
105618,693,1,3,3,1,0,FALSE,0,one-season
109110,694,1,8,8,1,0,FALSE,0,one-season
112366,695,2,4,5,2,0,FALSE,0,consecutive-repeat
112370,696,2,2,3,2,0,FALSE,0,consecutive-repeat
112459,697,3,6,8,3,0,FALSE,0,consecutive-repeat
112522,698,1,8,8,1,0,FALSE,0,one-season
112545,699,4,5,8,4,0,FALSE,0,consecutive-repeat
112556,700,1,1,1,1,0,FALSE,0,one-season
112596,701,1,2,2,1,0,FALSE,0,one-season
114055,702,1,3,3,1,0,FALSE,0,one-season
114709,703,1,5,5,1,0,FALSE,0,one-season
116161,704,1,1,1,1,0,FALSE,0,one-season
116170,705,3,2,6,5,2,TRUE,1,repeated-with-gap
116259,706,2,3,7,5,3,TRUE,1,repeated-with-gap
116283,707,2,4,5,2,0,FALSE,0,consecutive-repeat
116299,708,4,5,9,5,1,TRUE,1,repeated-with-gap
116319,709,2,3,5,3,1,TRUE,1,repeated-with-gap
116405,710,3,1,5,5,2,TRUE,1,repeated-with-gap
116898,711,7,3,11,9,2,TRUE,1,repeated-with-gap
122859,712,2,1,2,2,0,FALSE,0,consecutive-repeat
125250,713,7,2,8,7,0,FALSE,0,consecutive-repeat
127591,714,2,1,2,2,0,FALSE,0,consecutive-repeat
127598,715,1,3,3,1,0,FALSE,0,one-season
127609,716,1,7,7,1,0,FALSE,0,one-season
127719,717,1,3,3,1,0,FALSE,0,one-season
127928,718,8,3,11,9,1,TRUE,1,repeated-with-gap
128171,719,3,8,10,3,0,FALSE,0,consecutive-repeat
128230,720,1,3,3,1,0,FALSE,0,one-season
128742,721,3,5,7,3,0,FALSE,0,consecutive-repeat
130196,722,1,9,9,1,0,FALSE,0,one-season
134163,723,2,5,6,2,0,FALSE,0,consecutive-repeat
134170,724,2,1,3,3,1,TRUE,1,repeated-with-gap
134174,725,5,1,9,9,4,TRUE,1,repeated-with-gap
134175,726,5,5,10,6,1,TRUE,1,repeated-with-gap
134177,727,1,5,5,1,0,FALSE,0,one-season
134249,728,7,3,10,8,1,TRUE,1,repeated-with-gap
134476,729,1,6,6,1,0,FALSE,0,one-season
134502,730,5,1,12,12,7,TRUE,1,repeated-with-gap
134503,731,8,3,12,10,2,TRUE,1,repeated-with-gap
134513,732,1,8,8,1,0,FALSE,0,one-season
134702,733,1,12,12,1,0,FALSE,0,one-season
134769,734,7,2,9,8,1,TRUE,1,repeated-with-gap
135103,735,3,9,12,4,1,TRUE,1,repeated-with-gap
135561,736,1,11,11,1,0,FALSE,0,one-season
135807,737,1,1,1,1,0,FALSE,0,one-season
135848,738,1,3,3,1,0,FALSE,0,one-season
135903,739,4,1,10,10,6,TRUE,1,repeated-with-gap
135909,740,2,6,7,2,0,FALSE,0,consecutive-repeat
135919,741,1,8,8,1,0,FALSE,0,one-season
135923,742,1,9,9,1,0,FALSE,0,one-season
