feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_shots_blocked,per90_shots,-0.5391614232088059,-0.5589583299504947,-0.578722320501668,-0.5408477880300232
per90_defensive_duels,per90_shots,-0.3966255133558001,-0.26853169678777145,-0.2978891416142562,-0.23955033743560464
per90_offensive_duels,per90_shots,0.6891763820006302,0.6361048872399859,0.611893304461728,0.6578176195340545
per90_aerial_duels,per90_shots,0.13388262536024428,0.03699857543534859,0.007084547207122969,0.06855856234736686
per90_pressing_duels,per90_shots,0.4642822773762711,0.41731234158059316,0.3644692989565834,0.46165440835842736
per90_loose_ball_duels,per90_shots,0.36972907824847456,0.29493287133045865,0.25986116579042606,0.32719186163597036
per90_sliding_tackles,per90_shots,-0.17475027078824695,-0.20693018165354937,-0.23466693004799505,-0.1790304143598767
per90_dribbles_against,per90_shots,-0.47239554580887455,-0.32334478522049087,-0.35481331873546357,-0.2928053033914433
rate_defensive_duels_won,per90_shots,-0.36078205020854764,-0.38828839994016834,-0.41887730333269846,-0.3493411338866117
rate_offensive_duels_won,per90_shots,-0.2747262619011896,-0.2780474969010265,-0.3045076400341288,-0.2521953126268312
rate_aerial_duels_won,per90_shots,-0.4725399964583292,-0.5163273200380744,-0.5367750753859635,-0.49657992025884246
per90_fouls,per90_shots,0.12748370515783783,0.1009937243279872,0.06806500157946747,0.13115887980413657
per90_fouls_suffered,per90_shots,0.4695334057242939,0.4223473994142778,0.3986106478750668,0.4468104482566432
per90_yellow_cards,per90_shots,-0.13499029015474084,-0.14389541542879117,-0.17112399263404915,-0.1177674006404844
per90_received_pass,per90_head_shots,-0.3425202974898109,-0.4243898986960015,-0.4517446890267345,-0.3999661394016839
per90_passes,per90_head_shots,-0.368174867114027,-0.44124992015055853,-0.46865364002779064,-0.4157062405013178
per90_forward_passes,per90_head_shots,-0.34530296855747505,-0.3895339811328951,-0.42081331172545033,-0.36053769733615365
per90_back_passes,per90_head_shots,-0.2686956625665323,-0.20540279203979003,-0.2363730390711546,-0.17582132125965758
per90_lateral_passes,per90_head_shots,-0.25358500696854464,-0.37284780870795314,-0.40116041014787374,-0.3483311924967087
per90_long_passes,per90_head_shots,-0.2927685581973195,-0.3071846728897287,-0.33871486604223644,-0.279276460187048
per90_smart_passes,per90_head_shots,-0.05978484294654486,-0.12499706539269552,-0.15300630944301435,-0.09640418504303894
per90_progressive_passes,per90_head_shots,-0.4302753932145219,-0.40904811598918606,-0.43877043719631337,-0.38175846747844727
per90_passes_to_final_third,per90_head_shots,-0.30443019416837774,-0.3774711107617601,-0.4033878877264267,-0.35267016987454214
per90_key_passes,per90_head_shots,-0.12766068336727207,-0.1267349756336113,-0.15728676086512275,-0.09537746259043914
per90_through_passes,per90_head_shots,-0.10383790631925231,-0.2301892894542563,-0.25520553376142036,-0.20399545010422626
per90_crosses,per90_head_shots,-0.3300562948912626,-0.12745235615641107,-0.1572154981853222,-0.09797538405659048
per90_shot_assists,per90_head_shots,-0.19812514724221275,-0.16099149268027443,-0.1939323435071956,-0.12897349013558576
rate_successful_passes,per90_head_shots,-0.11046911315294942,-0.20360071017532802,-0.22738142445381723,-0.18201181620476742
rate_successful_progressive_passes,per90_head_shots,-0.17861833552419412,-0.24148341923192462,-0.2645327122558084,-0.2172341382298764
per90_dribbles,per90_head_shots,-0.12139716982224594,-0.022323716576950734,-0.05376486177133419,0.008575331227795684
per90_progressive_run,per90_head_shots,-0.21089652446684998,-0.11765113582542638,-0.14631003418580094,-0.08668045401475688
per90_accelerations,per90_head_shots,-0.20110287782389846,-0.07387500375259602,-0.0991468436929204,-0.04779139529125849
rate_successful_dribbles,per90_head_shots,-0.07218151709211167,-0.09734070459514184,-0.11444671053705506,-0.07861767656194875
per90_touch_in_box,per90_head_shots,0.40227866609112684,0.18346599820132586,0.15104373673604451,0.21862131720435354
per90_losses,per90_head_shots,0.14076388959685796,0.06299745188712944,0.037005590923118725,0.08953708757822745
per90_own_half_losses,per90_head_shots,-0.11225306018044488,-0.09864082823626284,-0.12416662407838717,-0.0748119105832792
per90_dangerous_own_half_losses,per90_head_shots,-0.05242246783306516,-0.07192376218153285,-0.09852004842342432,-0.04880798960385042
per90_recoveries,per90_head_shots,-0.24230477897818342,-0.23658717415974106,-0.2713269807040056,-0.2063352835722366
per90_opponent_half_recoveries,per90_head_shots,-0.28296206461273743,-0.2172211306010888,-0.23827425260034002,-0.19469210821849092
per90_dangerous_opponent_half_recoveries,per90_head_shots,-0.11439584366974652,-0.11669546364150112,-0.13925030373386163,-0.09178610174552965
