param,mean,sd,q05,q50,q95,ess_bulk,rhat
Lambda_a.4.3,0.0633676178002975,0.019595274196927418,0.030454200749999997,0.06422443750000001,0.09507668644999999,156.39169564605163,1.003314789454809
Lambda_a.5.3,0.12746150922,0.016701332247998597,0.0999998138,0.12722362,0.15514475799999997,627.7245693567569,1.0023470905949825
Lambda_a.6.3,-0.007144639591335003,0.02491953711716477,-0.047587112749999994,-0.0079742702,0.033595619399999985,213.50344363251403,1.0000420074419207
Lambda_a.7.3,-0.7479237966075,0.01984337121492379,-0.7803525969999999,-0.747904095,-0.7151415865,196.30182363575489,1.0010993008888966
Lambda_a.8.3,-0.740875353315,0.019393137113251236,-0.772704868,-0.740848575,-0.7091509695,225.0727236438133,1.0004101234818452
Lambda_a.9.3,-0.5614484267425,0.017045799158796674,-0.5899080409999999,-0.5610153250000001,-0.5342027495,304.45905603818915,1.0018915380989577
Lambda_a.10.3,-0.1802643981,0.024225242539706055,-0.220490935,-0.17970322,-0.14146737250000002,189.91714944753429,1.0013506517648398
Lambda_a.11.3,-0.7716453368,0.01765679834020297,-0.801281909,-0.771301115,-0.7432098575,338.4226118321527,0.9998148529164577
Lambda_a.12.3,-0.3438489156525,0.018844056580368817,-0.37520277,-0.34359366999999996,-0.31334147,481.92771489061585,1.0009064927405074
Lambda_a.13.3,-0.072444463103,0.016752306973735486,-0.1002410765,-0.0721701255,-0.044958489850000005,221.07334116366675,1.002108838609266
Lambda_a.14.3,-0.4054660440125,0.019341716060994274,-0.43729647599999993,-0.4051309,-0.37370975200000006,205.98469148862887,1.0020211265956809
Lambda_a.15.3,-0.553575643015,0.019828694731502235,-0.5867423165,-0.553007765,-0.5214018575,399.509440566987,1.0001581623510987
Lambda_a.16.3,0.1255163595125,0.020832956755920444,0.090498738,0.12589603,0.1587887925,156.8497452439288,1.0026109592369505
Lambda_a.17.3,-0.2535363209875,0.020792849951317426,-0.28792107149999996,-0.25306377,-0.21923823900000003,343.835511683644,1.0040343911471956
Lambda_a.18.3,0.4114133145525,0.025245871034915972,0.36806289150000004,0.411925635,0.451490525,154.45457010336716,1.0022229759985986
Lambda_a.19.3,0.07291268835374999,0.021558527409045083,0.03568377115,0.07362207200000001,0.107160085,143.2629738615874,1.0037186957250546
Lambda_a.20.3,-0.7352342074175,0.019040475485862456,-0.7670647070000001,-0.73519303,-0.7041193935000001,825.9480259400578,1.0011402808782803
Lambda_a.21.3,-0.342313890525,0.017792329060043806,-0.3724893905,-0.34202128,-0.3137312785,364.06639293331233,1.0005678934368603
Lambda_a.22.3,0.319437325915,0.02263420474316138,0.28117731849999994,0.31987408,0.356232233,190.05594933814064,1.0031730138470882
Lambda_a.23.3,0.09139517924475,0.02229900170789406,0.0539828539,0.09202122800000001,0.12713043649999997,250.95172778359878,1.0034845336395828
Lambda_a.24.3,0.187299114365,0.02104163866201903,0.15261826050000002,0.187771115,0.221645176,230.9730561031806,1.0007672237337575
Lambda_a.25.3,-0.2674407101525,0.018202348453832614,-0.298080319,-0.26707703,-0.23839918750000003,2396.959325277715,1.0010855980386608
Lambda_a.26.3,0.1877743639175,0.01574614469385194,0.161576536,0.18801221499999998,0.2136797465,641.5676824280586,1.003838270366305
Lambda_a.27.3,0.391663742085,0.021548755665760786,0.3562556875,0.39156746,0.42804243299999994,464.05526038282375,1.001425800546835
Lambda_a.28.3,0.022177102226708576,0.018533073855507443,-0.007666508764999999,0.022041048,0.05342789609999999,1067.5995118091325,1.0004499808601774
Lambda_a.29.3,-0.1631914420075,0.016073328502974764,-0.190098208,-0.16299198,-0.13711957700000002,699.628214971255,1.000883989483246
Lambda_a.30.3,-0.30739657585,0.015462615729554978,-0.3331307225,-0.30678145,-0.2822249,435.5414095151541,1.0014738124369544
Lambda_a.31.3,-0.1747007829595,0.02567066538140237,-0.217020309,-0.17475563500000002,-0.1314503135,404.4691307455719,1.0010672111614762
Lambda_a.32.3,-0.0610856942596325,0.020484547394314993,-0.09539874324999999,-0.060490676,-0.027809781750000012,453.68207190975335,1.0015769692511431
Lambda_a.33.3,-0.12009826411675,0.01565032087512543,-0.1467394385,-0.12000782,-0.09499341525000002,515.0880077780056,1.0000716313340408
Lambda_a.34.3,-0.067950883459925,0.01882776714427712,-0.09828636645,-0.0675160525,-0.037177990750000015,329.4718567419682,1.0020842811719488
Lambda_a.35.3,-0.2535376884075,0.018881143916499497,-0.28488425999999994,-0.253513375,-0.22231292649999998,306.39728589550464,1.0037380989467142
Lambda_a.36.3,0.12690423769925,0.022244465147502734,0.0900628205,0.127349145,0.16411775499999998,389.63620048749897,0.999899323431309
Lambda_a.37.3,0.2735963021975,0.0198002589635147,0.24051270800000002,0.27382088,0.30554498049999995,255.3589192919121,1.0019832671509192
Lambda_a.38.3,0.116585425336,0.024233894675663812,0.07631676215,0.11710501000000001,0.15576744999999997,192.72990700784257,0.9999413565755236
Lambda_a.39.3,0.2201049796775,0.014495122306671522,0.19662333299999998,0.219868945,0.244147972,1066.170279830874,0.999927448278035
Lambda_a.40.3,0.2389156467825,0.02159844775588937,0.203394909,0.23888733,0.274726417,621.6814666385478,1.002110380517465
Lambda_a.41.3,-0.06489963225482,0.020336850994306835,-0.09815242679999998,-0.0652955315,-0.031222951250000002,881.349224446697,1.000927494115091
Lambda_a.42.3,0.106296406425,0.01974727447157569,0.07402088424999999,0.106654205,0.13849576649999998,310.8787774107685,1.0028847768486175
Lambda_a.43.3,-0.273249469145,0.016332827230546392,-0.30012900299999995,-0.273063475,-0.24642725350000003,929.3395074812939,1.000603559840899
Lambda_a.44.3,-0.18932994806,0.01955103017518191,-0.22202111,-0.188899435,-0.156843514,643.2476513732688,1.000546103105953
Lambda_a.45.3,-0.2190977240175,0.020756424462644394,-0.25265492300000003,-0.219259465,-0.18487641700000002,569.7680930193566,1.0000342008179268
Lambda_a.46.3,0.1918820936025,0.023678316777973125,0.1525278485,0.19210472,0.22978448499999996,795.3216433619515,1.0002069292879205
Lambda_a.47.3,0.13940718560675,0.02359618210761606,0.10055054199999999,0.13923023499999998,0.1773428385,583.7767575140656,0.9999616088916999
Lambda_a.48.3,0.0240816538682125,0.020613195443370785,-0.009946723055,0.023800043,0.05794980414999998,2375.5177653288347,1.000161652587783
psi_a.1,0.3212865693325,0.015848932310082716,0.2956563365,0.32111285,0.34729034400000003,558.3157849235129,1.0009760133842538
psi_a.2,0.15285751821125,0.026585451431572052,0.106336877,0.154650025,0.1937236965,658.8922541513158,1.0028947191881465
psi_a.3,0.302241328955,0.012425173233052825,0.2818640005,0.302381465,0.322738344,528.1658996944948,1.0010187284924221
psi_a.4,0.187876305205,0.01545032533722968,0.1616000535,0.187999965,0.21253641899999998,851.6688197313433,1.001002989544662
psi_a.5,0.3708320990375,0.011053667250592487,0.352494263,0.37068071,0.389139904,896.1748403675305,1.003753015900175
psi_a.6,0.4982753663125,0.01615706136588638,0.47190144800000006,0.498182175,0.525346849,924.8111887931614,1.0020224498043226
psi_a.7,0.020367792569035776,0.0141458672660628,0.0018350267100000002,0.018298121,0.046426148599999995,1081.9062168794017,1.0002443156423997
psi_a.8,0.00649262778691657,0.004885028172034959,5.644367280000002e-4,0.0054239003,0.0160770136,3124.657971946308,1.0007440562123373
psi_a.9,0.1627353855725,0.008300012190406669,0.149337568,0.162672545,0.17638411599999998,1406.4926814755233,1.0006738644233795
psi_a.10,0.4657869329925,0.013178497311899745,0.44431363999999995,0.46555529500000004,0.48768374849999996,1297.2587561968417,0.9999795827624686
psi_a.11,0.16288917149,0.009724397639459299,0.146742923,0.162941275,0.17886553900000002,1375.7015352200715,1.0003186913270563
psi_a.12,0.4244945961325,0.011657918368392776,0.405861115,0.42426248,0.443876006,1075.1582419009035,0.999847356170214
psi_a.13,0.3105087209475,0.011102270298000863,0.2926374625,0.310326355,0.32920623099999996,1225.4026848089502,1.0000312243313279
psi_a.14,0.2086333139075,0.009876151164479225,0.1925461945,0.20865684,0.22506663249999997,736.0794519926578,1.0001464333930739
psi_a.15,0.4097620161525,0.0110539913528574,0.39188821349999997,0.40951446,0.4277894355,1221.0177652705092,1.0008691720091827
psi_a.16,0.1955917668125,0.015293544008084909,0.17020339399999998,0.19555524000000002,0.2208910985,808.0331903517852,1.0020367504830205
psi_a.17,0.465523413685,0.014693731182126996,0.4416690815,0.4655298,0.4894594625,1305.3071978957737,0.9999731678084034
psi_a.18,0.384074505985,0.013271518152333224,0.36262004100000006,0.383876025,0.40620525199999996,857.7532269491796,1.0011957045057327
psi_a.19,0.18128970251,0.014319100124086184,0.15743341800000002,0.181346435,0.20438744949999998,606.2623898684794,0.9999461966273493
psi_a.20,0.3934393406025,0.01329704570359219,0.371515641,0.3933162,0.41566600899999995,891.9421027514409,1.000969170928663
psi_a.21,0.3308094910225,0.016810883725908388,0.3033882405,0.33071297499999996,0.3585949665,1223.3442277617323,0.999859647470577
psi_a.22,0.39128437722,0.01077109644986592,0.37358151050000005,0.39114973,0.409534913,1117.853722777382,0.9998303273386792
psi_a.23,0.5054434459875,0.013945788073405675,0.4830189245,0.505084155,0.5286390525,1205.131059209053,1.0007232869031935
psi_a.24,0.4560659117,0.013647284060646855,0.4340416425,0.45564825,0.47899302599999993,938.6030589410442,1.000220747692518
psi_a.25,0.4085146899625,0.019089582443977144,0.37754944500000004,0.40836972000000005,0.44029560149999986,1099.64135431409,1.002975516863456
psi_a.26,0.3561810733275,0.010385836421182692,0.33938071750000004,0.356027845,0.3736986685,1266.239208602031,1.0000540621208145
psi_a.27,0.5488997068925,0.015295678190954662,0.5242327945,0.548708415,0.5746904250000001,931.3239547759897,1.0012492855823683
psi_a.28,0.4108277402225,0.016965674902325423,0.38354984200000003,0.410138625,0.4396111425,1181.229736875226,1.0011349820112487
psi_a.29,0.2666890112775,0.0188211792104762,0.23561699700000002,0.26647090500000004,0.2979329395,1097.2070131033327,1.0005009713538526
