rank,player_name,player_id,season_id,feature,z_std,minutes,player_index,season_index
58,J. Larrivey,20884,8504,per90_aerial_duels,6.428481849080404,1108,496,1
59,Toni Martínez,291231,189974,rate_successful_progressive_passes,-6.379412343898457,1140,951,11
60,Robin Le Normand,281069,189974,rate_successful_dribbles,-6.351665329731385,2343,919,11
61,A. Sørloth,55224,189974,per90_xg_shot,6.333914725625496,1665,595,11
62,Sergio Reguilón,344100,185828,per90_accelerations,6.333622334744163,2723,1014,6
63,Íñigo Martínez,3671,189974,per90_passes,6.2965340023394045,2573,173,11
64,Víctor Laguardia,4358,187526,rate_offensive_duels_won,-6.281835380835462,3300,298,8
65,Joselu,3327,189012,per90_loose_ball_duels,-6.231836699460649,1915,43,10
66,Fran Gámez,452269,185828,per90_sliding_tackles,6.227692378254827,1912,1176,6
67,Álex Baena,544859,189012,per90_assists,6.204742296571515,2720,1286,10
68,Mikel Merino,339789,189012,per90_aerial_duels,6.200834956392806,2741,991,10
69,Kike García,3874,185828,per90_aerial_duels,6.196402635640014,1890,224,6
70,Fernando Llorente,3424,9630,per90_aerial_duels,6.195379060198627,1205,89,2
71,R. Tapia,139075,187526,per90_sliding_tackles,6.175499719773182,1567,747,8
72,Oriol Riera,4602,8504,per90_aerial_duels,6.162461454855546,1570,327,1
73,Pablo Pérez,169000,9630,per90_aerial_duels,6.158448196114703,796,761,2
74,Sergio Canales,3282,185641,per90_accelerations,6.147090478606915,2815,20,5
75,Unai Bustinza,6365,10837,per90_sliding_tackles,6.122709628441969,1832,397,3
76,Koke,3443,9630,per90_assists,6.11982777343349,3083,99,2
77,Portu,3287,188124,per90_touch_in_box,-6.109006632233453,1970,24,9
78,M. Iturra,3866,181144,per90_sliding_tackles,6.10512418244701,1645,223,4
79,Sergio Álvarez,3975,10837,per90_dribbles_against,6.092661647766798,2975,242,3
80,A. Sørloth,55224,189974,per90_goals,6.084150978979698,1665,595,11
81,Rodrygo,547260,188124,per90_xg_shot,6.083021126335296,2587,1297,9
82,Neymar,40810,9630,per90_xg_shot,5.978359143181746,3159,583,2
83,Adrián González,3705,10837,per90_xg_shot,5.974879290243363,1519,188,3
84,Jesús Navas,3474,185641,per90_accelerations,5.9697566566636455,2898,111,5
85,Rubén Peña,225948,185641,per90_progressive_passes,5.967451082465996,2837,803,5
86,Fer Niño,486425,187526,rate_successful_progressive_passes,-5.926743220328784,1008,1214,8
87,Germán Sánchez,193984,187526,rate_successful_dribbles,-5.907435770351419,2537,767,8
88,F. Andone,6165,8504,per90_aerial_duels,5.904056639598848,1583,388,1
89,K. Benzema,3321,9630,per90_xg_shot,5.903999775587776,2037,38,2
90,K. Benzema,3321,188124,per90_xg_shot,5.889430343819076,2197,38,9
91,Javi Rodríguez,879052,191659,rate_successful_dribbles,-5.866594400873433,963,1519,12
92,M. Nastasić,20932,188124,rate_offensive_duels_won,5.858154540837054,988,497,9
93,G. Carrillo,86239,185828,per90_aerial_duels,5.854689863190441,1328,642,6
94,Vinícius Júnior,493295,185641,per90_accelerations,5.841236278658378,931,1225,5
95,G. Cabral,3916,8504,rate_offensive_duels_won,5.830155051804157,1842,228,1
