player_name,player_id,season_id,season_index,feature,eps_std,eps_raw,abs_std
Carles Aleñà,282442,185641,5,per90_lateral_passes,5.520387405093096,2.7170303623576815,5.520387405093096
Willian José,40770,10837,3,per90_head_shots,5.509074376976075,2.72993159177554,5.509074376976075
Á. Correa,254408,189974,11,per90_xg_shot,5.504428327966715,2.1944498898478697,5.504428327966715
David Zurutuza,3680,9630,2,per90_offensive_duels,5.5012068059796055,1.7335368015695063,5.5012068059796055
David Soria,278320,189974,11,rate_offensive_duels_won,-5.497098276543713,-3.9385963383126343,5.497098276543713
Unai García,6317,185828,6,per90_shots_blocked,5.493628814185177,3.425627174631301,5.493628814185177
M. Díaz,5167,185641,5,per90_xg_shot,5.491057859716539,2.189119486610582,5.491057859716539
Iker Muniain,3425,181144,4,per90_smart_passes,5.489947450024976,2.4383990021311597,5.489947450024976
Ferrán Torres,397303,191659,12,per90_goals,5.466117585445857,3.1771769710284423,5.466117585445857
Léo Baptistão,7623,8504,1,per90_head_shots,5.448731080158908,2.7000294592101244,5.448731080158908
J. Mathieu,3274,8504,1,rate_goal_conversion,5.413491565184338,4.98340762214813,5.413491565184338
Álvaro Soberón,3695,8504,1,rate_successful_dribbles,-5.407192108784696,-5.056911482586674,5.407192108784696
L. Suárez,7972,8504,1,per90_smart_passes,5.400671199184638,2.398746323677543,5.400671199184638
Xabier Etxeita,4113,10837,3,rate_offensive_duels_won,-5.400583416510219,-3.869444750475336,5.400583416510219
K. Navas,3915,181144,4,rate_offensive_duels_won,5.39750813150619,3.867241350491054,5.39750813150619
Arnau Martínez,678620,191659,12,per90_dangerous_own_half_losses,5.386201822607468,4.682757097149776,5.386201822607468
P. Gazzaniga,8992,191659,12,rate_successful_dribbles,-5.367109041406694,-5.019425016486865,5.367109041406694
Oihan Sancet,545942,189974,11,per90_goals,5.3556423158107975,3.112963298880729,5.3556423158107975
Borja Iglesias,275338,189012,10,per90_xg_shot,-5.346756270796817,-2.1315907866180925,5.346756270796817
S. Weissman,238564,188124,9,rate_successful_progressive_passes,-5.343786699282808,-4.390719890507819,5.343786699282808
Denis Suárez,8323,181144,4,per90_touch_in_box,5.34266996078751,1.9294065720216116,5.34266996078751
Yoel Rodríguez,3823,10837,3,rate_offensive_duels_won,-5.342616654314562,-3.8279123517729428,5.342616654314562
D. Cheryshev,4513,8504,1,per90_smart_passes,5.318927210449978,2.3624391527300492,5.318927210449978
Sergio Álvarez,3821,9630,2,rate_offensive_duels_won,-5.317870600235628,-3.810182139744742,5.317870600235628
Jesé Rodríguez,3326,9630,2,per90_assists,5.308851944030191,4.726132013461265,5.308851944030191
Gorka Iraizoz,3399,9630,2,rate_offensive_duels_won,-5.307782581157165,-3.8029542109349546,5.307782581157165
L. Cabrera,3885,189974,11,rate_successful_dribbles,-5.300252510580999,-4.956899485376347,5.300252510580999
Aitor Paredes,549129,191659,12,rate_successful_dribbles,-5.29446165191225,-4.951483761446646,5.29446165191225
E. Mor,281255,181144,4,per90_accelerations,5.263344428010298,2.9352312848969637,5.263344428010298
Joel Robles,4320,185641,5,rate_offensive_duels_won,-5.2586552678350245,-3.7677551574293338,5.2586552678350245
