query_player_name,neighbor_player_name,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
L. Suárez,K. Benzema,0.7257124270998243,0.47246117739171084,1.0328314307838005,0.09675,0.5464371781926591,0.16935536220942343,0.9473291592884949
L. Suárez,M. Depay,0.754208387553979,0.2806655466470167,1.2951760415746525,0.17725,1.3097510485822463,0.7908247986232658,1.869301353764791
L. Suárez,L. Vietto,0.7621707355647747,0.3695752387316063,1.2475200554938246,0.103,2.2872632316220844,1.7830841968597277,2.789068517880542
L. Suárez,W. Ben Yedder,0.928742447759926,0.5753145654326962,1.318283502338366,0.0155,1.1105450897430449,0.6532431926040757,1.5775368935452507
L. Suárez,Cristiano Ronaldo,0.9516897791835917,0.4529238266226894,1.4823271380474048,0.08025,0.8591295996487056,0.3674732722029255,1.3237419521374627
L. Suárez,Rubén Castro,0.9764416822487917,0.6511187788907931,1.3161143250800291,0.013,1.394052648690123,0.9225048562165046,1.865672685439668
L. Suárez,G. Rossi,1.0272605618648727,0.6415543602224052,1.4364044128732232,0.00675,1.9449708569921746,1.4878518048847407,2.40867514227973
L. Suárez,K. Boateng,1.031570468675322,0.6784930226600109,1.445677191022823,0.002,2.1309586905403584,1.5752320462699678,2.726520330549523
L. Suárez,L. Rémy,1.03566108616207,0.6165779314362233,1.479367238311033,0.01575,1.6282493967843823,1.0085960260412181,2.272884085217508
Neymar,L. Messi,1.101683534479962,0.5979723380156419,1.6380000003763342,0.463,2.0155680303343213,1.4407924085327084,2.5861966841398254
Neymar,Jonathan Viera,1.2573787185058438,0.9626841253650157,1.5825620772913749,0.0695,1.876896267160593,1.3443908120878358,2.404225091444311
Neymar,J. Rodríguez,1.2866694660350622,1.030880103528534,1.5679084674506938,0.047,1.5636597530058887,1.0285797281287157,2.0907245307617828
Neymar,O. Dembélé,1.292713680213306,0.8050482064568403,1.780679343267664,0.17625,1.559069543909621,1.038725720712291,2.0619876517061004
Neymar,E. Hazard,1.3598511430589781,0.9971741130386873,1.7179205054862292,0.0425,1.7559493656381198,1.1119522371161106,2.399839770523078
Neymar,Lamine Yamal,1.3628547141856449,0.8531548761333497,1.8982988060547439,0.1095,1.2101471039374183,0.6182157973464443,1.8098509359559753
Neymar,Isco,1.3919401625180372,1.1209758148385,1.6863187051355557,0.00625,2.0504815749254366,1.5362706198930325,2.5606516472062197
Neymar,Pedro,1.40357175545864,0.9251903053633986,1.915500054789823,0.06725,0.8771791974436306,0.2790672427385509,1.510430437994688
Neymar,Philippe Coutinho,1.5739343979581373,1.2212245616714896,1.9553425273071692,0.0035,1.1963191574710113,0.6491687814868705,1.7416578741490765
Neymar,Gerard Deulofeu,1.6228213471586088,1.155522799442482,2.099591901681126,0.0115,1.619380414107125,0.9634006377694401,2.274830065904459
Sergio Ramos,Gerard Piqué,0.41509324883675536,0.14826543088329133,0.8182589560898809,0.2425,0.8027244946824985,0.4488091692982942,1.1624694606336352
Sergio Ramos,S. Umtiti,0.4336341121303125,0.18372490857643664,0.7721513789745933,0.164,1.3506445860146346,0.9671273374507221,1.7356551828275613
Sergio Ramos,Javi García,0.4612827748550928,0.16292606387376848,0.8786589930974428,0.1665,1.1623858534962803,0.7033768227048582,1.6095179427538444
Sergio Ramos,J. Mathieu,0.4652730747798488,0.17421465364708458,0.8476417428305429,0.17125,1.0307259886729787,0.6231863758503012,1.435627599138937
Sergio Ramos,A. Rüdiger,0.5264295253625029,0.29932342237970794,0.7924067172956686,0.0285,1.1314202202572958,0.7334559598309766,1.5313029018079536
Sergio Ramos,R. Araújo,0.5676602126920729,0.3367311240948129,0.847424830112915,0.01525,0.5481190598906819,0.1902797001625235,0.9099334705811248
Sergio Ramos,Diego Carlos,0.5879201544442936,0.3313037045879812,0.8915439196384151,0.022,0.9109488603001051,0.49431157454836466,1.3215570703740358
Sergio Ramos,A. Christensen,0.6324401850578559,0.2744276285049183,1.0834867242232018,0.03525,0.9970213035428664,0.5870964489051814,1.4020676873560034
Sergio Ramos,A. Mandi,0.6377219551156958,0.4077120128680062,0.923702823009101,0.005,1.0095619880965985,0.6464780860248712,1.3644197448965567
Sergio Ramos,Éder Militão,0.701598613146001,0.456062634183794,1.0128094956744196,0.00225,0.8151395350620598,0.4356423770375123,1.2052044775695863
