K,pc,feature,group,loading,ci_lo,ci_hi,reliable
4,PC3,per90_recoveries,Defending,0.12562248121640243,0.09350568353652827,0.16358121671914108,TRUE
4,PC3,per90_opponent_half_recoveries,Defending,0.20519773057382362,0.10672785472619889,0.3215139877873212,TRUE
4,PC3,per90_dangerous_opponent_half_recoveries,Defending,0.05464015262979281,-0.010957869984997898,0.12995789875735098,FALSE
4,PC3,per90_interceptions,Defending,0.2501520249916813,0.2260613308087756,0.2740349019430519,TRUE
4,PC3,per90_clearances,Defending,0.10058934347123132,0.029372052373678903,0.16227593350132494,TRUE
4,PC3,per90_shots_blocked,Defending,-0.05899900071622972,-0.1103832592931136,-0.00924158167350464,TRUE
4,PC3,per90_defensive_duels,Dueling,0.6247557533390516,0.5488710777815653,0.711385194230332,TRUE
4,PC3,per90_offensive_duels,Dueling,0.07002696833731718,0.016430738638381542,0.12859297258775879,TRUE
4,PC3,per90_aerial_duels,Dueling,-0.042949607781882386,-0.07597198014665463,-0.010800309359765494,TRUE
4,PC3,per90_pressing_duels,Dueling,0.06124097005323279,0.016204551136389994,0.10762231791818774,TRUE
4,PC3,per90_loose_ball_duels,Dueling,0.1391739363661558,0.07712611027001687,0.2082064022404489,TRUE
4,PC3,per90_sliding_tackles,Defending,0.1676612512121081,0.12434422340948958,0.21239353194394803,TRUE
4,PC3,per90_dribbles_against,Defending,0.5513140519578071,0.49339934106315786,0.6107581363795829,TRUE
4,PC3,rate_defensive_duels_won,Defending,-0.11077196106388937,-0.159288946575275,-0.059935701353889106,TRUE
4,PC3,rate_offensive_duels_won,Dueling,0.0028128196677938092,-0.036800476340795266,0.04255613491043397,FALSE
4,PC3,rate_aerial_duels_won,Dueling,-0.03649277951768984,-0.08336956284001784,0.009826507803943924,FALSE
4,PC3,per90_fouls,Discipline,0.34293284426107856,0.26306426947131567,0.4392919300739879,TRUE
4,PC3,per90_fouls_suffered,Discipline,0.11049836532727657,0.04156053309691493,0.19077774402795367,TRUE
4,PC3,per90_yellow_cards,Discipline,0.1888164440874195,0.1472518780594434,0.23388211742474563,TRUE
4,PC4,per90_goals,Attacking output,0.07758532859049316,0.07422710815711472,0.081019525098076,TRUE
4,PC4,per90_assists,Attacking output,-0.1814600949489298,-0.18975074994549482,-0.17299773439711788,TRUE
4,PC4,per90_xg_shot,Attacking output,0.021283227665480423,-0.002757873857604392,0.04440936253276839,FALSE
4,PC4,per90_xg_assist,Attacking output,-0.1849686337394282,-0.19914027908239457,-0.1709983804045702,TRUE
4,PC4,per90_shots,Attacking output,0.08153089924100489,0.0594014538583907,0.10126465114665106,TRUE
4,PC4,per90_head_shots,Attacking output,0.0894637755888741,0.06977658912357135,0.11183764639437771,TRUE
4,PC4,per90_received_pass,Passing volume,0.14845188129951403,0.11845256351377575,0.20189274661495019,TRUE
4,PC4,per90_passes,Passing volume,0.15156990023222533,0.12216298891408672,0.20286957430017225,TRUE
4,PC4,per90_forward_passes,Passing volume,-0.05335385546156316,-0.046908292217999026,-0.04228966236998441,TRUE
4,PC4,per90_back_passes,Passing volume,0.24118887152535431,0.22041052669607625,0.2532161317902499,TRUE
4,PC4,per90_lateral_passes,Passing volume,0.17248907544565034,0.14803170568961904,0.22123265793393,TRUE
4,PC4,per90_long_passes,Passing volume,-0.22925947073119393,-0.26088908839036323,-0.1872294517704787,TRUE
4,PC4,per90_smart_passes,Passing volume,0.07269546630333856,0.06018069511790593,0.08213815208313391,TRUE
4,PC4,per90_progressive_passes,Passing volume,-0.19723611423833068,-0.21039818348847994,-0.17533805674679845,TRUE
4,PC4,per90_passes_to_final_third,Passing volume,0.1488764249761734,0.13014196306350062,0.18090394155137854,TRUE
