pc,feature,group,loading,ci_lo,ci_hi,reliable
PC2,per90_assists,Attacking output,0.3311366116204209,0.3169760218951603,0.34605920695370895,TRUE
PC2,per90_xg_shot,Attacking output,-0.2620304841575035,-0.27410939455736516,-0.2511840794240436,TRUE
PC2,per90_xg_assist,Attacking output,0.4892207165158218,0.4840855280447248,0.4953099296705698,TRUE
PC2,per90_shots,Attacking output,8.245164002904821e-4,-0.010662849504799584,0.011628225444615208,FALSE
PC2,per90_head_shots,Attacking output,-0.5828830740262245,-0.5908578748616162,-0.5756360210789191,TRUE
PC2,per90_received_pass,Passing volume,0.6531896175849884,0.6317990767030601,0.6746077441914897,TRUE
PC2,per90_passes,Passing volume,0.6244486156640618,0.6026721202922538,0.6457100339661545,TRUE
PC2,per90_forward_passes,Passing volume,0.42125614134419004,0.4035217935379871,0.4396522102032557,TRUE
PC2,per90_back_passes,Passing volume,0.624474688256429,0.6161448887071962,0.6331466035128699,TRUE
PC2,per90_lateral_passes,Passing volume,0.4335380522420758,0.4088917410823881,0.4573813408059763,TRUE
PC2,per90_long_passes,Passing volume,0.26922487924476973,0.2551165829984134,0.2853129814405539,TRUE
PC2,per90_smart_passes,Chance creation,0.3942213395881247,0.38794957942304603,0.40124436803274294,TRUE
PC2,per90_progressive_passes,Passing volume,0.5426077609216423,0.5298270022423681,0.5569678507379956,TRUE
PC2,per90_passes_to_final_third,Passing volume,0.4634765054290568,0.44619169490606897,0.4808774196887658,TRUE
PC2,per90_key_passes,Chance creation,0.5016318438626409,0.4956686950298343,0.5094217150095272,TRUE
PC2,per90_through_passes,Chance creation,0.47148738302000787,0.460376712336458,0.4832750257781967,TRUE
PC2,per90_crosses,Chance creation,0.5535432183619603,0.5435615422752985,0.565427638940597,TRUE
PC2,per90_shot_assists,Chance creation,0.5813659849186467,0.5767903655868857,0.5866438497939128,TRUE
PC2,rate_successful_passes,Passing quality,0.13984407463627851,0.11557923462839488,0.16361662056152684,TRUE
PC2,rate_successful_progressive_passes,Passing quality,0.4249504623551673,0.41353679233749363,0.4357892559014902,TRUE
PC2,per90_dribbles,Progressive actions,0.42190510868776143,0.41260690712569753,0.43281547143644206,TRUE
PC2,per90_progressive_run,Progressive actions,0.46369227623664067,0.4561808440331155,0.4728988356075027,TRUE
PC2,per90_accelerations,Progressive actions,0.38659858848543477,0.3772267805685424,0.39579116826741334,TRUE
PC2,rate_successful_dribbles,Progressive actions,0.06177067187347067,0.049065042190136146,0.07507542870246547,TRUE
PC2,per90_touch_in_box,Attacking output,-0.07065157938729938,-0.08273466242962871,-0.05895998676179361,TRUE
PC2,per90_losses,Defending,0.13201212296541995,0.11871182184221932,0.14586794054788352,TRUE
PC2,per90_own_half_losses,Defending,0.014382337579915569,0.0031961530560587217,0.026101637760928532,TRUE
PC2,per90_dangerous_own_half_losses,Defending,-0.09485316307325117,-0.10434308686737612,-0.08551654953036096,TRUE
PC2,per90_recoveries,Defending,0.10206717563633562,0.08996475013990661,0.11593315829907395,TRUE
PC2,per90_opponent_half_recoveries,Defending,0.4259240365281306,0.41311481973805764,0.4410849359738473,TRUE
PC2,per90_dangerous_opponent_half_recoveries,Defending,0.33495891436310105,0.32600651406262204,0.3446740986187966,TRUE
PC2,per90_interceptions,Defending,0.04584166652089034,0.03499330276709775,0.05722289424847352,TRUE
PC2,per90_clearances,Defending,-0.2500482257878748,-0.26028236510945063,-0.23973399217037988,TRUE
PC2,per90_shots_blocked,Defending,-0.22832798098355106,-0.23834553631885852,-0.2182470867874017,TRUE
PC2,per90_defensive_duels,Dueling,0.31953962377169304,0.30822351030777745,0.3302073046355485,TRUE
PC2,per90_offensive_duels,Dueling,0.24663144941484616,0.23316143490055496,0.25740726027734306,TRUE
PC2,per90_aerial_duels,Dueling,-0.5951599864501926,-0.6049086500687505,-0.5861323071246793,TRUE
PC2,per90_pressing_duels,Dueling,-0.08173401972834768,-0.09362299280268946,-0.07103888323041584,TRUE
PC2,per90_loose_ball_duels,Dueling,-0.29397489614126404,-0.30720636647040434,-0.28124184720286066,TRUE
PC2,per90_sliding_tackles,Defending,0.05047318659112685,0.03948530296360721,0.06217843823856063,TRUE
PC2,per90_dribbles_against,Defending,0.3618335265266297,0.35196926594886146,0.3714993837291873,TRUE
PC2,rate_defensive_duels_won,Defending,-0.027014038613263135,-0.03792534363069219,-0.015880027726792534,TRUE
PC2,rate_offensive_duels_won,Dueling,0.29948039982428204,0.28849502129495275,0.31023963789585274,TRUE
PC2,rate_aerial_duels_won,Dueling,-0.19349875033110367,-0.2032598697523121,-0.18284471824929346,TRUE
PC2,per90_fouls,Discipline,-0.14561040484918403,-0.161156371518804,-0.13054894793488092,TRUE
PC2,per90_fouls_suffered,Discipline,0.2004814003177514,0.18764570629120544,0.21373991024168257,TRUE
PC2,per90_yellow_cards,Discipline,-0.07091084781715631,-0.08134516743814534,-0.06023114489735152,TRUE
PC3,per90_goals,Attacking output,0.33566829591037445,0.3224006025941814,0.3492421124664482,TRUE
PC3,per90_assists,Attacking output,0.06277454641499203,0.052564541828231,0.07258738518676429,TRUE
PC3,per90_xg_shot,Attacking output,0.26987150777551994,0.2611660204086379,0.27886024885038185,TRUE
PC3,per90_xg_assist,Attacking output,-0.008555680488900668,-0.022382466171890374,0.005660074899955041,FALSE
PC3,per90_shots,Attacking output,0.21284380639300926,0.20011293011168518,0.22643721819735688,TRUE
PC3,per90_head_shots,Attacking output,0.32984910763353315,0.3098001946068068,0.34910465320564976,TRUE
PC3,per90_received_pass,Passing volume,0.41712813385353875,0.40322434990176,0.43165844737724207,TRUE
PC3,per90_passes,Passing volume,0.3579102339615506,0.3445063877737041,0.37207530089148033,TRUE
PC3,per90_forward_passes,Passing volume,0.1258310494625711,0.11238869647971139,0.1400481365420668,TRUE
PC3,per90_back_passes,Passing volume,0.15007254607478268,0.13184397282820937,0.16873121041399572,TRUE
PC3,per90_lateral_passes,Passing volume,0.4349083086005047,0.42252014060306037,0.44813516888197513,TRUE
PC3,per90_long_passes,Passing volume,-0.05283285169823356,-0.06963651637782263,-0.03508073382862982,TRUE
PC3,per90_smart_passes,Chance creation,0.11418345237984129,0.10101568113656197,0.12670624436034034,TRUE
PC3,per90_progressive_passes,Passing volume,-0.0470614370154203,-0.0624617656588115,-0.030710488403606157,TRUE
PC3,per90_passes_to_final_third,Passing volume,0.21960731271847198,0.20203328314127927,0.23646407889932988,TRUE
PC3,per90_key_passes,Chance creation,-0.07250855107901742,-0.08708971240721389,-0.05702148834148844,TRUE
PC3,per90_through_passes,Chance creation,0.19119976672132652,0.17273400260254818,0.20900368929305674,TRUE
PC3,per90_crosses,Chance creation,-0.4699437248803663,-0.4883243462433672,-0.4499173278962724,TRUE
PC3,per90_shot_assists,Chance creation,-0.0302657588699938,-0.046414314852264424,-0.013965720157391054,TRUE
PC3,rate_successful_passes,Passing quality,0.5528009980151127,0.5369260988761251,0.5686671855133014,TRUE
PC3,rate_successful_progressive_passes,Passing quality,0.2532116173629252,0.23839162421592908,0.26751422648809586,TRUE
PC3,per90_dribbles,Progressive actions,-0.19306287795991606,-0.21029060727477047,-0.17431045102881532,TRUE
PC3,per90_progressive_run,Progressive actions,-0.08220984284371088,-0.10046196195796185,-0.0643213475282243,TRUE
