rank,player_name,player_id,season_id,feature,z_std,eps_raw,player_index,season_index
1,Juanmi Latasa,558779,188124,per90_aerial_duels,16.655722354719295,5.953713131351981,1322,9
2,Álvaro Rodríguez,788748,189974,per90_aerial_duels,13.554408917264483,4.84512533529153,1500,11
3,H. Hassan,589806,191659,per90_progressive_run,11.902528208883854,5.506720455477721,1359,12
4,Imanol García,450650,10837,per90_sliding_tackles,10.842988424885482,5.796492746755087,1169,3
5,Pablo Pérez,169000,9630,per90_sliding_tackles,10.25987066608407,5.484767074186903,761,2
6,Adrián Marín,286994,9630,per90_sliding_tackles,9.545881941023472,5.103079821198584,941,2
7,C. Santos,38436,181144,per90_aerial_duels,9.454659155514857,3.3796389713891055,575,4
8,S. Weissman,238564,188124,rate_successful_progressive_passes,-8.99689978157734,-6.228346069380793,826,9
9,Juanmi Latasa,558779,188124,per90_losses,8.916204076776621,4.682905343647518,1322,9
10,Pablo Hervías,6287,185828,per90_accelerations,8.70193487715661,4.322684909629309,392,6
11,Juanmi Latasa,558779,189012,per90_aerial_duels,8.609835782959095,3.077650507620487,1322,10
12,Pablo Hervías,6287,186267,per90_accelerations,8.608018481395415,4.2760319534242015,392,7
13,Miguel Crespo,401550,189012,per90_sliding_tackles,8.576499594679383,4.5848631156896245,1113,10
14,Pablo Pérez,169000,9630,per90_aerial_duels,8.443527975618872,3.01820253200463,761,2
15,E. Mor,281255,181144,per90_accelerations,8.436362105305593,4.190761673073909,920,4
16,M. Wakaso,3538,10837,per90_sliding_tackles,8.262544091174325,4.417027392957113,131,3
17,N. Kalinić,105376,185641,rate_successful_progressive_passes,-8.038294809713678,-5.564725972064428,689,5
18,Juanmi Latasa,558779,189012,per90_loose_ball_duels,8.000092266083852,4.0103545258833435,1322,10
19,Edu Expósito,499843,191659,per90_xg_assist,7.924635989148785,4.617578412716447,1236,12
20,Álvaro Giménez,3656,186267,rate_successful_progressive_passes,-7.895833414126562,-5.466103235923652,168,7
21,David Zurutuza,3680,9630,per90_offensive_duels,7.868291857475887,2.2952316531288472,180,2
22,E. Pérez,86234,9630,per90_sliding_tackles,7.789577763166821,4.1641869598286565,641,2
23,T. Vermaelen,7860,185641,rate_offensive_duels_won,-7.789199376607997,-5.363292729526553,425,5
24,Joselu,3327,189012,per90_aerial_duels,-7.764449950731882,-2.7754609884151575,43,10
25,Jon Bautista,279571,185641,per90_aerial_duels,7.740532660858712,2.7669115734002094,917,5
26,Juanpe,4360,189974,rate_successful_dribbles,-7.713956702569788,-6.264667490606307,299,11
27,J. Larrivey,20884,8504,per90_aerial_duels,7.640165594572168,2.7310346112499517,496,1
28,R. Santa Cruz,3608,9630,per90_aerial_duels,7.588046221220177,2.712404149543458,159,2
29,Arnau Martínez,678620,191659,per90_dangerous_own_half_losses,7.463937098887006,5.781381711914405,1441,12
