component,observed_variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail
player,per90_progressive_run,0.762442939405,0.7618037900000001,0.02958911014998339,0.714406823,0.811065362,1.0066911698987184,733.3165540231563,1421.365430438676
player,per90_accelerations,0.660462955215,0.6601622149999999,0.02794188285676221,0.6148295535,0.7074840609999999,1.0028038074925725,741.4705993424801,1970.451899235084
player,rate_successful_dribbles,0.232327431415,0.232073195,0.01910035954654317,0.201335037,0.26485007299999996,0.999811422696538,1446.297551500402,1958.099645464477
player,per90_touch_in_box,0.8324448774225,0.830608845,0.03038639469156418,0.7853493320000001,0.8848278424999999,1.0078132148814702,483.425310438295,1107.2163283680582
player,per90_losses,0.7865488448675,0.78586963,0.03024636237654114,0.7383200045,0.8375514774999999,1.0056998711383498,788.1933378056533,1343.880671966126
player,per90_own_half_losses,0.696685479385,0.69634998,0.0301367579130725,0.6481006085,0.74742651,1.0023376099914136,1107.0705929058142,2066.9306707102323
player,per90_dangerous_own_half_losses,0.514924199225,0.514227795,0.02781019454793582,0.470875733,0.561530177,1.0013804989685635,975.686043438812,2043.9307293388836
player,per90_recoveries,0.8740287395675,0.8736820000000001,0.03211551809257476,0.822915056,0.928573395,1.0028460637620973,510.93782366829464,1139.0827548594666
player,per90_opponent_half_recoveries,0.7866178046875,0.78553889,0.03033544680260068,0.737884783,0.8376229435,1.0053011144073811,887.4169183490653,1449.233112035491
player,per90_dangerous_opponent_half_recoveries,0.4914051002425,0.490989745,0.02625130766489706,0.448952276,0.5366707405,1.0018286586775798,1141.92503723519,2646.9228260688883
player,per90_interceptions,0.81417230576,0.8132877000000001,0.03111857955951164,0.765060966,0.8681478645,1.0022523907178538,630.8943528513987,1822.9465861132005
player,per90_clearances,0.881751731465,0.880451895,0.03326043590321963,0.82894926,0.9372889725,1.0014700812770674,588.8250359612522,1031.5970364542238
player,per90_shots_blocked,0.7004737856725,0.699623185,0.03194231813245676,0.6488461515,0.7534667300000001,0.999958292316201,1043.8728115513131,1781.587650174595
player,per90_defensive_duels,0.84957371541,0.8489428450000001,0.03274587297289809,0.7961786845,0.9044447135,1.0022157424452032,605.6566945558981,1491.8636457199862
player,per90_offensive_duels,0.9771806480425,0.97649948,0.03599747956418552,0.919218469,1.036470055,1.0099457803597844,313.77594933897893,958.2271199882788
player,per90_aerial_duels,0.88335227336,0.88286919,0.03337680154683972,0.8300273845,0.938781591,1.0066930915441596,568.3300889842202,1100.6198141079094
player,per90_pressing_duels,0.457926008105,0.45779432499999995,0.01930482431193883,0.4265758710000001,0.4900184685,1.0040804291028675,1161.238359433817,2046.5387218068795
player,per90_loose_ball_duels,0.7595839348275,0.758957965,0.02905666639352214,0.7131097614999999,0.8082508125,1.004021107907512,1009.9372914945924,2025.3503301219937
player,per90_sliding_tackles,0.65187376048,0.65035788,0.02914258689043083,0.6063068905000001,0.7013857525,1.0156655857876449,893.515607068694,1643.4772201130163
player,per90_dribbles_against,0.7545262866375,0.7541357799999999,0.03033424535833345,0.7041975364999999,0.8048012594999999,1.003262687396014,721.4842080889115,1471.088463916243
player,rate_defensive_duels_won,0.2570821956875,0.256829205,0.01986193216925368,0.2259768655,0.29049044999999996,1.0019537391614322,1271.9055200714895,1957.946297578669
player,rate_offensive_duels_won,0.4172835270025,0.416674345,0.02385713036200763,0.3790044415,0.4576622429999999,1.0037014327467677,1187.137265068954,2222.2052506177056
player,rate_aerial_duels_won,0.8099012670125,0.808901315,0.03255648969101884,0.7576646684999999,0.8634316114999999,1.0048028982218822,983.7355955740906,1912.049275874653
