query_player_index,query_player_name,query_archetype,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_name,archetype
182,A. Griezmann,Attacking midfielders,644,0.7411365755147106,0.523816441458733,0.9834536971255645,0.01075,L. Vietto,Attacking midfielders
182,A. Griezmann,Attacking midfielders,1352,0.7495352570404635,0.4781931344990996,1.05396847014504,0.01125,Ansu Fati,Attacking midfielders
182,A. Griezmann,Attacking midfielders,90,0.7534808702822052,0.3711436260994433,1.1948302118161953,0.01975,Iker Muniain,Attacking midfielders
220,Iago Aspas,Attacking midfielders,435,0.4067786161750576,0.16543842258044117,0.7096312275772447,0.208,G. Bale,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1297,0.45111836638799696,0.17384052156439528,0.8442862477474672,0.14525,Rodrygo,Attacking midfielders
220,Iago Aspas,Attacking midfielders,183,0.5015105620442051,0.19627739317653042,0.906960336496049,0.08875,C. Vela,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1352,0.5167242715122653,0.16447460224662466,0.9468073759225438,0.167,Ansu Fati,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1491,0.5727279431692629,0.33810974944774025,0.8720493791237469,0.0105,Fermín López,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1185,0.6118929095010995,0.34130239909199866,0.9053715139233035,0.02,João Félix,Attacking midfielders
220,Iago Aspas,Attacking midfielders,42,0.6196863469914726,0.19214429657128512,1.1554745985666117,0.0755,Jesé Rodríguez,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1302,0.6276130544186701,0.2742742340837494,1.039130687730011,0.036,J. Álvarez,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1121,0.6336243537173325,0.32072476856750404,1.041880101976796,0.01525,Brahim Diaz,Attacking midfielders
220,Iago Aspas,Attacking midfielders,1151,0.6389217720807148,0.3325196198586869,1.0129327487868498,0.01275,Francisco Trincão,Attacking midfielders
834,Iñaki Williams,Forwards,814,0.42812440947120695,0.1853974941434099,0.7569622116008852,0.0585,Ayoze Pérez,Attacking midfielders
834,Iñaki Williams,Forwards,24,0.44514319918005874,0.14919865550904923,0.8422166790385206,0.105,Portu,Forwards
834,Iñaki Williams,Forwards,10,0.45190046475539064,0.1714067107486183,0.8146104704832415,0.0775,S. Becker,Attacking midfielders
834,Iñaki Williams,Forwards,385,0.4799015572188429,0.20070407946064509,0.851674933869729,0.03825,Sandro Ramírez,Attacking midfielders
834,Iñaki Williams,Forwards,1072,0.4885889490744931,0.19699528357316964,0.8379663458169484,0.03625,C. Hernández,Forwards
