feature,p99,p99_excess,max_abs_std,n_gt5sd,genuinely_underfitting,skewness,recommended_transform,icc_player,icc_season,verdict
rate_successful_progressive_passes,2.4028892397266253,-0.968,5.343786699282808,1,FALSE,-1.018050902473135,none,0.465975769415,0.08666407002925,unremarkable_p99
per90_dangerous_opponent_half_recoveries,2.3923011033804737,-0.979,4.062625170500468,0,FALSE,0.7267699940621233,none,0.4599007598225,0.00776110149475,unremarkable_p99
per90_long_passes,2.3622842773875483,-1.009,6.091464568023763,1,FALSE,0.8763484978827446,none,0.84156844033,0.004405431260235,unremarkable_p99
per90_passes,2.3340505757573276,-1.037,5.667951762074893,1,FALSE,0.5502622487113626,none,0.854161799485,0.009567488789925,unremarkable_p99
per90_dangerous_own_half_losses,2.3183046681053576,-1.053,5.386201822607468,1,FALSE,0.8561595111749498,none,0.4767370513475,0.01499787352045,unremarkable_p99
rate_successful_passes,2.3110745123937844,-1.06,6.3893214656038495,1,FALSE,-0.5456087312442423,none,0.7478408394925,0.0364206151654,unremarkable_p99
per90_back_passes,2.3095596542907693,-1.061,4.417602955805929,0,FALSE,0.2993609653957574,none,0.8203870508125,0.00773331251575,unremarkable_p99
per90_fouls_suffered,2.293494612536789,-1.077,4.5942370542098745,0,FALSE,0.8594738998418555,none,0.778851362315,0.019207917731875,unremarkable_p99
per90_yellow_cards,2.264418128172893,-1.107,3.9113632540593937,0,FALSE,0.8533236685033699,none,0.4406178883525,0.016402708916625,unremarkable_p99
per90_loose_ball_duels,2.240125490784975,-1.131,5.036597602859159,1,FALSE,0.6556265282913809,none,0.7182396514175,0.1133905076205,unremarkable_p99
per90_dribbles_against,2.23661355672034,-1.134,4.224157680710369,0,FALSE,0.326762913237217,none,0.69932018073,0.1277122281165,unremarkable_p99
per90_forward_passes,2.2089943182404803,-1.162,4.049369111194048,0,FALSE,0.2443144338509335,none,0.8503167652,0.004307332679915,unremarkable_p99
rate_aerial_duels_won,2.2027956182712876,-1.168,6.830582494430839,2,FALSE,0.5928982540039834,none,0.77050427556,0.0039308212506,unremarkable_p99
per90_passes_to_final_third,2.1905295661460964,-1.18,4.107444743403625,0,FALSE,0.8773152324211305,none,0.7815386401925,0.021985786619525,unremarkable_p99
per90_fouls,2.088526300145003,-1.282,4.906055081638088,0,FALSE,0.5235155725581069,none,0.7282816387925,0.025891511436325,unremarkable_p99
per90_progressive_passes,2.0754339744049286,-1.296,4.807505579785204,0,FALSE,0.23289670773686572,none,0.7719214687175,0.04865863993599999,unremarkable_p99
per90_opponent_half_recoveries,2.0657046967617134,-1.305,3.7528235571906423,0,FALSE,0.3197576854378654,none,0.7903941958925,0.00498496762591,unremarkable_p99
per90_defensive_duels,2.037331476603121,-1.334,3.2935997547232194,0,FALSE,-0.2645869726139634,none,0.7860174982225,0.077482891283,unremarkable_p99
per90_recoveries,2.0173213638396117,-1.354,4.005935965125446,0,FALSE,0.2123744212248248,none,0.887367626605,0.0110822054284,unremarkable_p99
per90_interceptions,1.9784086727499632,-1.393,4.193078491163786,0,FALSE,0.31102630665506814,none,0.7806371912825,0.0663148090305,unremarkable_p99
per90_losses,1.949710129967507,-1.421,4.729391904662613,0,FALSE,0.01539274650748082,none,0.7507918417275,0.07141682098425,unremarkable_p99
rate_successful_sliding_tackles,1.8986291315005608,-1.472,2.0649141004010167,0,FALSE,0.1644954936968359,none,0.0490659732185,0.0118090440586275,unremarkable_p99
per90_own_half_losses,1.872650817436908,-1.498,3.013598603425571,0,FALSE,-0.1931101231539692,none,0.673475739015,0.01802978284975,unremarkable_p99
