"player_index","player_id","player_name","archetype","cluster","pc1_score","pc2_score","pc3_score","n_seasons"
239,3970,"Alejandro Gálvez","Centre backs",1,5.3203578510937,-1.26440157884526,0.252200489345206,3
240,3972,"Álex Menéndez","Midfielders",5,-0.778849894952252,0.788154384880081,-1.96972850545432,1
241,3974,"D. Suárez","Defensive midfielders",3,1.62804243750394,1.64974554817256,-2.59874631459696,9
242,3975,"Sergio Álvarez","Defensive midfielders",3,3.32454990774701,-0.465958718964427,-0.889235300606983,5
243,3977,"Nacho Cases","Defensive midfielders",3,1.87064502203283,0.870581404248903,0.674302384104168,2
244,3979,"De las Cuevas","Midfielders",5,-1.38311575676434,1.85201902342267,-0.363121077791264,1
245,3984,"Alberto Lora","Defensive midfielders",3,3.89465438129259,1.06193115724067,-1.49658836850671,1
246,3987,"Ó. Trejo","Attacking midfielders",2,-2.80990458981319,2.92318266467724,-0.345589693200401,5
247,3988,"David Barral","Forwards",4,-4.6690117961525,-3.18110308986755,1.49187709124833,1
248,4000,NA,"Centre backs",1,5.26704354222311,-3.41780997177337,0.543736768837353,2
249,4003,"Miguel Torres","Centre backs",1,4.2436139100819,-1.8952201684012,-1.72805836681106,4
250,4007,"Diego Castro","Midfielders",5,-1.08539665118154,1.75127952499379,0.630749739041015,1
251,4009,"M. Lacen","Defensive midfielders",3,3.4006358846625,0.790423118446082,0.507003408674113,3
252,4012,"Juan Rodríguez","Centre backs",1,3.91315840943646,-1.4910830086833,0.486432554460446,2
253,4013,"Rubén Pérez","Defensive midfielders",3,4.42491268898077,1.71303726941872,-0.576555269644267,6
254,4014,"Pedro León","Attacking midfielders",2,-4.07198604829962,1.3209912866468,-1.12836274754651,7
255,4015,"Pablo Sarabia","Attacking midfielders",2,-3.77469629252955,3.07877994028057,0.160297281967146,5
256,4017,"Miku","Forwards",4,-5.30048241233293,-2.86601399044796,1.94883645840708,1
257,4034,"Fidel","Midfielders",5,-2.14160789527968,2.89831342872288,-0.645585984638177,4
258,4048,"Sergi Enrich","Forwards",4,-4.9986801050765,-4.22772690485126,1.27043567423911,6
259,4065,"J. Murillo","Centre backs",1,5.25950997844318,-2.11814625191378,1.42374200068742,4
260,4078,"D. Ferreiro","Attacking midfielders",2,-3.48944070000432,2.96843075519721,-1.83271763396783,2
261,4086,"Eneko Bóveda","Defensive midfielders",3,3.37473228615396,-0.36613878068704,-1.5433199435354,4
262,4093,"Añibarro","Centre backs",1,5.58260648606545,-3.76216855004893,-0.247366296864285,1
263,4094,"Ander Capa","Midfielders",5,1.00344652562976,1.86800130483296,-2.64123001488166,7
264,4102,"Mikel Arruabarrena","Forwards",4,-3.08399730304501,-2.62168808683157,2.14512310726104,1
265,4110,NA,"Defensive midfielders",3,4.08192394895381,1.30028796068012,-1.72828821597348,1
266,4113,"Xabier Etxeita","Centre backs",1,4.83891134698948,-2.9382009313137,0.25289504197252,6
267,4116,NA,"Centre backs",1,5.25131582966469,-1.93225052090259,1.15642430993439,1
268,4127,"J. Feliu","Attacking midfielders",2,-3.282495758208,-0.25997160322046,-1.19657850189818,2
269,4131,"Ángel Rodríguez","Forwards",4,-5.91902471585281,-3.52946577423516,0.358885478953448,6
270,4180,"David Lombán","Centre backs",1,5.26390522720153,-3.75827890383461,0.755799787729086,4
