pc,feature,group,loading_LLt,loading_Sa
PC2,per90_dangerous_own_half_losses,Defending,-0.09051741139825331,-0.08907595833049867
PC2,per90_recoveries,Defending,0.10303726167864789,0.10505290302035068
PC2,per90_opponent_half_recoveries,Defending,0.4156418541281396,0.44631586622448743
PC2,per90_dangerous_opponent_half_recoveries,Defending,0.34160856222116626,0.3465446131113652
PC2,per90_interceptions,Defending,0.04514883213432824,0.04816432570932429
PC2,per90_clearances,Defending,-0.24483103759260058,-0.24462301900118372
PC2,per90_shots_blocked,Defending,-0.22226071339912204,-0.22164897981821072
PC2,per90_defensive_duels,Dueling,0.3087671782609572,0.3231991188645465
PC2,per90_offensive_duels,Dueling,0.24887580830316167,0.2519295116115302
PC2,per90_aerial_duels,Dueling,-0.5931415615685631,-0.6191554683470607
PC2,per90_pressing_duels,Dueling,-0.08421429055322777,-0.086116759236918
PC2,per90_loose_ball_duels,Dueling,-0.2931066123593867,-0.3082527596542644
PC2,per90_sliding_tackles,Defending,0.043452231000519925,0.046929655141877344
PC2,per90_dribbles_against,Defending,0.35235953694930844,0.3591690668599408
PC2,rate_defensive_duels_won,Defending,-0.022894314184336892,-0.022515833456714585
PC2,rate_offensive_duels_won,Dueling,0.30046033760928137,0.3079116605909616
PC2,rate_aerial_duels_won,Dueling,-0.19446337819545795,-0.19834797131688264
PC2,per90_fouls,Discipline,-0.1556488798944586,-0.16895858879169953
PC2,per90_fouls_suffered,Discipline,0.1983793591202893,0.2100737019227077
PC2,per90_yellow_cards,Discipline,-0.07504134520235592,-0.07708078690154224
PC3,per90_goals,Attacking output,0.33125174596948936,0.3315386837532241
PC3,per90_assists,Attacking output,0.058910313199812596,0.061592562768221004
PC3,per90_xg_shot,Attacking output,0.268908132270068,0.26551400394069746
PC3,per90_xg_assist,Attacking output,-0.008597595816342275,-0.0026468601458222983
PC3,per90_shots,Attacking output,0.21279823165876638,0.21668200875352714
PC3,per90_head_shots,Attacking output,0.33335753084470326,0.3489104081658647
PC3,per90_received_pass,Passing volume,0.41335674454657595,0.4113706998857434
PC3,per90_passes,Passing volume,0.3575607305200646,0.35703647583486287
PC3,per90_forward_passes,Passing volume,0.12050371157716913,0.12581386245657405
PC3,per90_back_passes,Passing volume,0.15015819355176793,0.16776518323465753
PC3,per90_lateral_passes,Passing volume,0.4330042334653877,0.43228170623596784
PC3,per90_long_passes,Passing volume,-0.05766840516719115,-0.05445925490143706
PC3,per90_smart_passes,Passing volume,0.11253288583449944,0.11837691125972867
PC3,per90_progressive_passes,Passing volume,-0.05039341327307201,-0.040661175260495924
PC3,per90_passes_to_final_third,Passing volume,0.22294666525230075,0.2395827673655619
PC3,per90_key_passes,Passing volume,-0.07672390178499827,-0.06966329244309953
PC3,per90_through_passes,Passing volume,0.18857793923448424,0.20677952382558404
PC3,per90_crosses,Passing volume,-0.4763074394727483,-0.4835697610418086
PC3,per90_shot_assists,Passing volume,-0.026243974640797293,-0.018920530666919903
PC3,rate_successful_passes,Passing quality,0.5603056866649959,0.5821462147761759
PC3,rate_successful_progressive_passes,Passing quality,0.2578029520899458,0.2674212546720564
PC3,per90_dribbles,Progressive actions,-0.19765466183050737,-0.19949436202832752
PC3,per90_progressive_run,Progressive actions,-0.08676023410389162,-0.08740310154391029
PC3,per90_accelerations,Progressive actions,-0.1720591886157829,-0.1769526083538644
PC3,rate_successful_dribbles,Progressive actions,0.1481955668844262,0.15554117895195704
PC3,per90_touch_in_box,Attacking output,0.17101962988322356,0.17201878349312075
PC3,per90_losses,Defending,-0.2581545631476634,-0.28322001872994645
PC3,per90_own_half_losses,Defending,-0.2721322712234556,-0.2813746075768112
PC3,per90_dangerous_own_half_losses,Defending,-0.032066239611773746,-0.03208894757082531
PC3,per90_recoveries,Defending,-0.09414012993308243,-0.08985619943046681
PC3,per90_opponent_half_recoveries,Defending,-0.004540884748131153,0.0019278743364970039
PC3,per90_dangerous_opponent_half_recoveries,Defending,0.05445366096778144,0.06145672610595545
PC3,per90_interceptions,Defending,-0.24799635463840747,-0.24498543946486595
PC3,per90_clearances,Defending,-0.1855722877615013,-0.1925335704668629
PC3,per90_shots_blocked,Defending,0.05363836261961452,0.05245044158534726
PC3,per90_defensive_duels,Dueling,-0.4389255602795779,-0.47718557718893784
PC3,per90_offensive_duels,Dueling,-0.043519710807679045,-0.043828866288284266
PC3,per90_aerial_duels,Dueling,0.11694951275250044,0.12136903700177322
PC3,per90_pressing_duels,Dueling,0.006820883830853492,0.00464673807182314
PC3,per90_loose_ball_duels,Dueling,0.01012108383553743,0.005836280363230433
PC3,per90_sliding_tackles,Defending,-0.061876693202990087,-0.07085404625473646
PC3,per90_dribbles_against,Defending,-0.4609854735218736,-0.4666990304179958
PC3,rate_defensive_duels_won,Defending,0.09618862246455977,0.09900291121406235
PC3,rate_offensive_duels_won,Dueling,-0.064811204021364,-0.06314853181566799
PC3,rate_aerial_duels_won,Dueling,0.0337018929020543,0.034677917717228245
PC3,per90_fouls,Discipline,-0.10640335282730362,-0.13786533849764734
PC3,per90_fouls_suffered,Discipline,0.00482978283823172,0.0077250881773800175
PC3,per90_yellow_cards,Discipline,-0.08909515951738431,-0.09969343330774053
