component,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
season,per90_accelerations,0.0407036880938,0.034700929,0.02230629466605725,0.0175400463,0.08243352074999989,0.02122590186073862,0.019477786233061376,1.0012597507689205,1050.8481331888054,2065.645219479668
season,rate_successful_dribbles,0.04024914771095,0.034623792,0.02150554996537217,0.01820743325,0.08270560109999997,0.020651516952469366,0.019597630758480634,1.001324310713109,1476.4639264637217,2147.9490462946196
season,per90_touch_in_box,0.013189069896425,0.0112048015,0.00763250865535146,0.00544785648,0.02747180824999999,0.018649905640075907,-0.005460835743650907,1.001665639495983,1288.3854635065418,1693.4602612857088
season,per90_losses,0.0577211857585,0.0503340245,0.03005299248768571,0.02489497354999999,0.114152081,0.03098214539703183,0.02673904036146817,1.001370332050565,1129.205291848415,1717.2298972443264
season,per90_own_half_losses,0.0817248381825,0.070227524,0.0444729699853565,0.0354408741,0.1641531639999999,0.06060991136433036,0.021114926818169635,1.0003168751351088,1080.526255229061,1757.4391358600285
season,per90_dangerous_own_half_losses,0.0651978776175,0.0565068235,0.03525493738075911,0.02879080655,0.1303375785,0.06136278918908859,0.003835088428411404,1.002473159747263,1323.247595902544,2035.1497162129504
season,per90_recoveries,0.08178466205175,0.0712706085,0.04339723689778982,0.03729158125,0.16063040249999996,0.07676307841116647,0.005021583640583527,1.002166443064999,1366.9034638882017,1821.4738764977164
season,per90_opponent_half_recoveries,0.1157839279915,0.101482835,0.05986589605522349,0.0519762255,0.22680100699999992,0.05555112236020916,0.06023280563129084,1.001136937913813,1243.2712816850951,1897.316894266964
season,per90_dangerous_opponent_half_recoveries,0.029733755492325,0.025565844,0.01663372594090157,0.01274588195,0.06163947594999997,0.01651921930994975,0.01321453618237525,1.0010308907124172,1421.2746183299091,2143.173893451571
season,per90_interceptions,0.07994069254575,0.069039467,0.0456050964807374,0.03546942855,0.15918312399999993,0.05578919513624485,0.024151497409505146,1.0017834118629585,1054.2152817856725,1923.3794482088333
season,per90_clearances,0.072221610307,0.06292194649999999,0.03971702788817791,0.03165203395,0.14294771449999993,0.05391307710320733,0.018308533203792672,1.0006017564773686,1280.383737896463,1817.3059542715216
season,per90_shots_blocked,0.0539919622005,0.046848932,0.02942909129068179,0.0238303009,0.10666437899999998,0.042969863398506364,0.01102209880199364,1.0024231679640403,1186.7799509271997,1706.9510389573236
season,per90_defensive_duels,0.1299629281985,0.114362545,0.06621189350413652,0.0609789189,0.2553989875,0.05665411085069734,0.07330881734780266,1.0033581609148134,1150.4851434125928,2250.816035826961
season,per90_offensive_duels,0.031668185369475,0.0271737505,0.01759006944837004,0.01363606305,0.06393180214999995,0.02794010702775867,0.0037280783417163316,1.0020691482768784,1169.0852352472978,1976.2289384512803
season,per90_aerial_duels,0.0316587035494,0.027371288,0.01707143093194189,0.013804736,0.0639640175,0.05305806993352987,-0.02139936638412987,1.0026647101719492,1488.0558902361684,2325.659770637266
season,per90_pressing_duels,0.0759708567475,0.06644204100000001,0.04050264356525662,0.03275753185,0.1504682015,0.049808360214166125,0.02616249653333387,1.0014107862164765,1340.8471372470838,2364.262749615592
season,per90_loose_ball_duels,0.0663257960065,0.0569754595,0.03652435394661378,0.0286069623,0.13529019949999993,0.04649366533075654,0.019832130675743465,1.000539541909767,1239.3963092917284,2145.6130734935396
season,per90_sliding_tackles,0.071015014864,0.062406417,0.03688354290868868,0.0319874244,0.1400647565,0.044176090212329676,0.026838924651670322,1.0008866814889987,1224.395696378885,2010.0689104973897
season,per90_dribbles_against,0.020281325821075,0.0172428025,0.01164651422267036,0.00862440821499999,0.04209831044999999,0.02111904680859062,-8.377209875156215e-4,1.0004510289641049,1464.4473102571485,2433.515850108078
season,rate_defensive_duels_won,0.01192228503445,0.010218307,0.00684679994138852,0.00480885413,0.02502269734999999,0.01906279338847368,-0.007140508354023679,1.0078260412815814,1391.503765993048,2096.438424384912
season,rate_offensive_duels_won,0.027922610694725,0.023750181,0.01573978108074965,0.01194840735,0.0566635432,0.011991590319548431,0.015931020375176567,1.0030911485259786,1367.8966058652293,1871.3599656022336
season,rate_aerial_duels_won,0.0178474004707,0.0151129835,0.01042835480369588,0.00757098471,0.03685219735,0.03716511240768575,-0.019317711936985754,1.01022972363279,1071.2105324057245,2283.988168272351
