feature,factor,loading,q5,q95,group,abs_loading
per90_aerial_duels,PCA_Factor_1,0.16410050007605656,0.10000394671208768,0.24764675659007834,Dueling,0.16410050007605656
per90_pressing_duels,PCA_Factor_1,0.5021007742801857,0.4376881752094612,0.5536914872115688,Dueling,0.5021007742801857
per90_loose_ball_duels,PCA_Factor_1,0.414808911252175,0.32395904162541594,0.48847521100851876,Dueling,0.414808911252175
per90_sliding_tackles,PCA_Factor_1,-0.18993498150662574,-0.2776810137997849,-0.1196310588577354,Defending,0.18993498150662574
per90_dribbles_against,PCA_Factor_1,-0.2707084202067799,-0.43403578041365476,-0.15091803988877586,Defending,0.2707084202067799
rate_defensive_duels_won,PCA_Factor_1,-0.3234858666625946,-0.3508475543917358,-0.29393468907570164,Defending,0.3234858666625946
rate_offensive_duels_won,PCA_Factor_1,-0.3197981186438155,-0.3694418368240479,-0.26500881667629395,Dueling,0.3197981186438155
rate_aerial_duels_won,PCA_Factor_1,-0.5407949416192293,-0.6746606508962444,-0.33449804056221555,Dueling,0.5407949416192293
rate_dribbles_against_won,PCA_Factor_1,-0.2963641259632534,-0.3382199075724495,-0.2487007597848629,Defending,0.2963641259632534
rate_successful_sliding_tackles,PCA_Factor_1,-0.1226307754773352,-0.1474894455259513,-0.09929396552154852,Defending,0.1226307754773352
per90_fouls,PCA_Factor_1,0.22001291356034558,0.11708089764601456,0.30184055563621653,Discipline,0.22001291356034558
per90_fouls_suffered,PCA_Factor_1,0.5008387691015863,0.3128287144968419,0.6302796081291071,Discipline,0.5008387691015863
per90_yellow_cards,PCA_Factor_1,-0.08937825562852202,-0.14291821454663522,-0.04081172082364248,Discipline,0.08937825562852202
per90_goals,PCA_Factor_2,-0.10186350372705374,-0.2614216292601486,-0.0036786834449912334,Attacking output,0.10186350372705374
per90_assists,PCA_Factor_2,0.23692815622854407,-0.03721953662570202,0.556170377238078,Attacking output,0.23692815622854407
per90_xg_shot,PCA_Factor_2,-0.02669995762408673,-0.14812512837208522,0.17096437955882252,Attacking output,0.02669995762408673
per90_xg_assist,PCA_Factor_2,0.48161108070307135,0.35271786164721924,0.6481940495640925,Attacking output,0.48161108070307135
per90_shots,PCA_Factor_2,0.15622354340116823,0.017712777657612998,0.3753264791594118,Attacking output,0.15622354340116823
per90_head_shots,PCA_Factor_2,-0.24242035643218837,-0.3015133608696811,-0.15477725617708651,Attacking output,0.24242035643218837
rate_shots_on_target,PCA_Factor_2,-0.028220308244794913,-0.07764429611551722,0.03718090919531648,Shooting rates,0.028220308244794913
rate_goal_conversion,PCA_Factor_2,-0.032489469665046726,-0.07352766233507034,0.01698798267096631,Shooting rates,0.032489469665046726
per90_received_pass,PCA_Factor_2,0.8129788872519624,0.6977144199792611,0.8886451600525169,Passing volume,0.8129788872519624
per90_passes,PCA_Factor_2,0.8103693992997312,0.6686132799761701,0.8869090994154266,Passing volume,0.8103693992997312
per90_forward_passes,PCA_Factor_2,0.4339746771899482,0.20438308545797645,0.553722893964003,Passing volume,0.4339746771899482
per90_back_passes,PCA_Factor_2,0.7179679779184776,0.6130449024639348,0.8337321779185372,Passing volume,0.7179679779184776
per90_lateral_passes,PCA_Factor_2,0.640719542133168,0.4738158235292948,0.7271031952142876,Passing volume,0.640719542133168
per90_long_passes,PCA_Factor_2,-0.08962984886081532,-0.2846027401015241,0.03618782915099656,Passing volume,0.08962984886081532
per90_smart_passes,PCA_Factor_2,0.4404217403938974,0.3557009080243058,0.5403441272755933,Passing volume,0.4404217403938974
per90_progressive_passes,PCA_Factor_2,0.43022851314051924,0.2442444244645954,0.5337766779723846,Passing volume,0.43022851314051924
per90_passes_to_final_third,PCA_Factor_2,0.617160461297639,0.4695557888375417,0.6935634566386922,Passing volume,0.617160461297639
per90_key_passes,PCA_Factor_2,0.4625832747559875,0.3383884856166682,0.6330934393784023,Passing volume,0.4625832747559875
per90_through_passes,PCA_Factor_2,0.538525498454694,0.4641641047414004,0.6188271620064747,Passing volume,0.538525498454694
per90_crosses,PCA_Factor_2,0.35618264607809924,0.2539096406722027,0.4824763580284981,Passing volume,0.35618264607809924
per90_shot_assists,PCA_Factor_2,0.5498579910629092,0.4184215220167789,0.7180413641072954,Passing volume,0.5498579910629092
