query_player_name,query_archetype,neighbor_player_name,neighbor_archetype,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,level_gap_mean,level_gap_q05,level_gap_q95
L. Messi,Attacking midfielders,Riqui Puig,Midfielders,1.989545552554739,1.6678578191312263,2.339212223100518,2.5e-4,4.228702215160043,3.638921353703073,4.823467799482129
L. Messi,Attacking midfielders,E. Hazard,Attacking midfielders,2.0803451597235085,1.6716355173664383,2.503152782082328,5e-4,3.715979455085525,3.045782515017054,4.363081176419876
L. Messi,Attacking midfielders,İ. Gündoğan,Midfielders,2.2133650434640173,1.8378987952499137,2.6038747384627716,7.5e-4,4.119039273731149,3.485265299693325,4.715552665493599
L. Modrić,Midfielders,Pedri,Midfielders,0.3955040665034188,0.1570660631810206,0.7056549223732045,0.50475,0.6651278686793852,0.333198793618134,1.0131209524886797
L. Modrić,Midfielders,É. Banega,Midfielders,0.5924055477364433,0.19418106883194444,1.0615549965297648,0.216,0.3434902045953092,0.09796774179160087,0.6346948205568175
L. Modrić,Midfielders,Andrés Iniesta,Midfielders,0.6029773124024193,0.31470840685987184,0.98311681630963,0.09775,0.41387829299591294,0.12605643455200502,0.7512188902241436
L. Modrić,Midfielders,Dani Ceballos,Midfielders,0.6306182458034405,0.34704203706950326,0.9298010592792904,0.06175,0.4396663020471459,0.14371779350540925,0.7545264241786642
L. Modrić,Midfielders,T. Gayoso Roberto,Midfielders,0.713689784043986,0.46757625624322463,1.006231084584366,0.01075,0.315999233469695,0.07814633523776154,0.6512625147663146
L. Modrić,Midfielders,M. Kovačić,Midfielders,0.7357367381659717,0.4387805025446221,1.0545327847897075,0.01775,0.39137016101033234,0.10136297802923984,0.7270153428646232
L. Modrić,Midfielders,F. de Jong,Midfielders,0.813360573797389,0.4328361287099852,1.2513172979126566,0.021,0.23942374544586165,0.060985566324209636,0.46966787570462065
L. Modrić,Midfielders,T. Kroos,Midfielders,0.8447280118245701,0.5552409005596384,1.1983053552992207,0.00325,0.24981049161024316,0.06307711475034497,0.4856941427563633
