player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score
564,32652,E. Çolak,2,-2.2446057226923615,3.4906178643192143,1.779517264551138
565,32793,A. N'Diaye,1,1.8817229562939213,-1.963881466840124,0.4032238694440757
566,32968,N. Amrabat,3,-7.429753308516546,1.1627582581954852,-0.9160922252750342
567,32978,O. Yokuşlu,4,3.42500268826911,-0.2879868313866045,0.8067359886902538
568,33219,E. Culio,1,0.6275200734677028,4.061889644656723,0.6956512205562752
569,37762,William Carvalho,7,2.2102664278071353,2.6109756948971317,3.0789159684774323
570,37814,R. Donk,1,3.7422546014779323,-1.4932733652986852,-0.32766195483803556
571,37831,C. Bacca,6,-5.932690056009955,-3.3028538236948086,1.7883037873251564
572,37836,M. Lestienne,1,-2.6459675847446547,1.2714764472527607,-0.38238771198018245
573,38093,M. Batshuayi,1,-5.425054960386416,-1.7662676889887965,1.5859783351214767
574,38094,I. Ezekiel,1,-4.694492864787432,-0.0664250370855834,0.5721028024063167
575,38436,C. Santos,2,-2.7613512916102945,-5.176395863295936,1.0928895743069051
576,40542,Felipe,3,5.040434220765797,-3.255640178437818,0.8597378561080572
577,40550,Paulinho,1,-1.4607012236983448,1.0158161170222122,3.8968140379068736
578,40574,Dória,1,4.251237048008469,-3.6778190905459947,-0.6568907798514668
579,40614,Guilherme,2,3.110613701786682,0.4695354214847335,0.9803474682393888
580,40756,Casemiro,7,3.924671373472743,1.7814675400647035,1.127107750931416
581,40770,Willian José,9,-4.828324365920816,-2.7055771503021306,2.6655404656384127
582,40800,Ganso,1,-0.5125331672472264,3.382332796454175,2.6815704402048937
583,40810,Neymar,3,-8.509078602703607,6.566794337437423,3.4520367706134776
584,41029,Douglas,1,0.24404634901292832,3.182187624931699,-2.5437007194625254
585,41124,Naldo,4,5.1721180805703435,-3.188267391917662,0.21472173439892653
586,41339,Alex Telles,1,1.5485405847235336,1.0272524413897617,-1.9178751289332379
587,41363,Gabriel Paulista,7,5.586092809748887,-2.466677348047076,1.4426739575784322
588,42183,Petros,2,2.322450252240193,1.072185326605757,-0.49765531303622224
589,43051,Gabriel Pires,2,-1.6919232878527972,-0.1418925848834818,-0.15498901364938414
590,48354,Thiago Galhardo,1,-4.582955120650957,-3.5504873497897824,-0.1399900923247146
591,50102,F. Schär,1,4.40314783343708,-1.668275805839935,-0.3120568679504279
592,50213,K. Yoda,1,0.5256084606058051,3.7365957349373966,-1.4335524856819553
593,51004,C. Borges,4,1.9642457888847968,-0.4187142304389598,1.954462222875279
594,51217,L. Augustinsson,1,2.374051755320019,1.6600426879069894,-0.5297194136969775
595,55224,A. Sørloth,5,-6.325930612019586,-4.4310008380271615,0.7036375309155961
596,55968,M. Braithwaite,4,-5.460845069597529,-3.826443907312719,0.7221361863487422
597,55990,T. Delaney,1,2.1580251477015233,-0.46506806503166603,0.4241110321351095
598,56009,R. Durmisi,2,-0.4893985244189646,1.3027253937242396,-1.041625293249651
599,56025,M. Krohn-Dehli,3,-0.5378261884943032,3.9568935490985306,1.7812840348768537
600,56408,J. Jønsson,2,1.749223674972022,-2.8451852634713135,-1.5417511532327535
601,57347,S. Ingason,1,5.067079985288102,-3.4776998262900856,0.00480539061163119
602,69403,Sammir,1,-2.6667794423264346,4.911814648006826,1.8551923167365263
603,69404,M. Kovačić,3,0.7508688926914496,4.557194032053647,2.6301014937625378
604,69409,Š. Vrsaljko,4,2.061065375406888,0.3756094141705864,-2.7772544562543446
605,69513,A. Budimir,7,-5.61247122041617,-6.565391884398662,0.14889575819207235
606,69610,D. Čop,3,-4.940176856378288,-2.7945427928448963,1.0995890240528055
607,70083,Danilo,2,2.5388427358229557,2.6316251995255096,0.5701974128446029
608,70085,E. Mangala,2,5.0287252595590894,-3.2555133532330465,0.47785627337055986
609,70086,N. Otamendi,1,5.660091530460415,-1.8322502876896805,0.39186328394464187
610,70094,Fernando,5,3.9165083012078448,-0.23765708410066394,1.2713235762789694
611,70096,J. Rodríguez,3,-2.735001143938509,6.740656366268297,3.4595638884436055
612,70112,E. Garay,4,5.733911968094142,-1.9216425393681984,1.5694344890223917
613,70120,Javi García,2,4.534879217406064,-0.349304212091811,3.2023238686175746
