parameter,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
psi_b_sd,per90_through_passes,0.2368038070925,0.226830915,0.06373788350464177,0.152946827,0.3550270034999999,0.22315610879100858,0.013647698301491429,1.0155849995025743,770.5851640320097,1829.4170052020868
psi_b_sd,per90_crosses,0.173979101037,0.165955605,0.04704296921967235,0.1139762185,0.26375389699999996,0.13634927455335855,0.037629826483641465,1.0084073358572232,1266.7429689807548,1912.4204630635109
psi_b_sd,per90_shot_assists,0.3527729319675,0.340488675,0.07736713014603235,0.25048634999999997,0.497077418,0.24519999346230179,0.1075729385051982,1.0048223379409231,1436.8154041620342,1789.6889107441796
psi_b_sd,rate_successful_passes,0.1707422641045,0.163315475,0.04442109961273524,0.1130370385,0.2528983569999999,0.14459607004188002,0.026146194062619976,1.0043573074298129,1208.7153658896982,2083.8364420582616
psi_b_sd,rate_successful_progressive_passes,0.222094550435,0.2132747,0.05462603913464842,0.151218756,0.3241156954999999,0.19163520442787557,0.030459346007124438,1.0012007520415012,1196.5959703696506,2502.633376908415
psi_b_sd,rate_successful_crosses,0.15834937634675,0.15163384000000002,0.04057013104118603,0.1062107305,0.23518712149999993,0.1856814925558865,-0.027332116209136503,1.0033721874429724,1112.4036340318032,1732.4726032371454
psi_b_sd,per90_dribbles,0.085256099172475,0.08195349,0.03093404098336032,0.04077728625,0.14203645499999998,0.09027112221810966,-0.00501502304563467,1.0368479389748353,157.03736238225062,458.861463853993
psi_b_sd,per90_progressive_run,0.2139659667925,0.20575635,0.05397614807306918,0.14381690600000002,0.31590926699999994,0.23481696123257279,-0.020850994440072795,1.007155916940176,1151.196604137952,2022.4865170144396
psi_b_sd,per90_accelerations,0.16934440044225,0.162580065,0.04322168403588079,0.112704077,0.25191513949999994,0.11592931749066337,0.05341508295158662,1.005353458566388,1038.1769777200177,2173.6011033729274
psi_b_sd,rate_successful_dribbles,0.197935635562,0.189256,0.0506236885975106,0.1340326425,0.289085109,0.14369991421466694,0.054235721347333066,1.002092203035599,1534.965728866542,2203.078580788595
psi_b_sd,per90_touch_in_box,0.09108131791675,0.08667812899999999,0.0258159269364708,0.05820219455,0.13874422549999998,0.1080328935617581,-0.0169515756450081,1.0060218386436746,1244.0891044318062,2244.578831560814
psi_b_sd,per90_losses,0.18409910595875,0.17649641,0.04678069334762008,0.12412515100000002,0.27076151649999997,0.14505035213194786,0.039048753826802146,1.0017994316164296,1381.8003457860816,2278.730964926509
psi_b_sd,per90_own_half_losses,0.20642742604975,0.1973933,0.0545526081845689,0.13697546649999998,0.3124093564999999,0.20468996710609644,0.0017374589436535692,1.0193347111222015,674.0579855069507,1718.142493695753
psi_b_sd,per90_dangerous_own_half_losses,0.128464788114,0.121969405,0.03587519157395547,0.08119283835,0.19553894399999988,0.1378604978346266,-0.009395709720626588,1.0100536988619555,1157.3361485384914,2244.797139391694
psi_b_sd,per90_recoveries,0.2494029957875,0.23938929,0.06028088656689449,0.1697191295,0.36539785899999994,0.24867962765274568,7.233681347543208e-4,1.0010117182285558,1534.6363759231035,2355.3861162314397
psi_b_sd,per90_opponent_half_recoveries,0.2522673788425,0.242413595,0.06047631510250311,0.171488592,0.364809423,0.22812815224518998,0.02413922659731002,1.0017463480668083,1295.9407455213354,1881.1936522772205
psi_b_sd,per90_dangerous_opponent_half_recoveries,0.0973034733035,0.092476437,0.02864504064192257,0.0606934458,0.15228816399999984,0.09112264322582632,0.006180830077673685,1.0012805721172755,1065.7424983424044,2050.9581025416123
psi_b_sd,per90_interceptions,0.27172751577,0.263052665,0.06222922787875713,0.187775062,0.390771204,0.21994989696424452,0.05177761880575546,1.00117962665285,1281.714012823972,2034.598887235331
psi_b_sd,per90_clearances,0.198740121156,0.190379965,0.05134876285443979,0.13155236299999998,0.292722802,0.21740162315778433,-0.01866150200178432,1.0054404129259695,1366.6012477171791,2230.460373358319
psi_b_sd,per90_shots_blocked,0.12060017207925,0.11527744,0.03491698146496853,0.0735638551,0.18705598699999995,0.10137313567800448,0.019227036401245526,1.001519960030074,1070.915118069777,1698.3475856928667
psi_b_sd,per90_defensive_duels,0.33964456187000003,0.32745493000000003,0.07373196243557664,0.240953885,0.48024962549999994,0.22663575252052395,0.11300880934947607,1.0013010490120398,1408.9123231010926,2325.590769838638
psi_b_sd,per90_offensive_duels,0.15735420092025,0.15056349000000002,0.03950448948274408,0.106285005,0.23195463749999992,0.14150893096113576,0.015845269959114228,1.0004082795259162,1264.253372139592,2342.2779209892856
psi_b_sd,per90_aerial_duels,0.1632050526685,0.156437655,0.04099389635995641,0.110925954,0.2387592265,0.20942169435555114,-0.04621664168705114,1.0001834391700866,1384.7960600483834,2201.802213137039
psi_b_sd,per90_pressing_duels,0.216061540075,0.20874701,0.0510856226273328,0.14694979849999998,0.31274016849999986,0.19919559354661032,0.016865946528389686,1.0008174829093328,1687.619369243685,2543.1034286721615
psi_b_sd,per90_loose_ball_duels,0.2402275285075,0.23233531,0.05613116573767028,0.166036295,0.344535908,0.1978814508859068,0.0423460776215932,1.000682049811075,1369.2608583245674,2040.8453868364031
psi_b_sd,per90_sliding_tackles,0.1200783199315,0.11447018,0.03619573598205769,0.073744923,0.18454717049999997,0.08149388128891587,0.03858443864258414,1.0053561267249531,882.1534613435707,1674.5609845710194
psi_b_sd,per90_dribbles_against,0.129614336267,0.124264905,0.03498506964005974,0.083659405,0.19331295449999997,0.11182893404271453,0.01778540222428547,1.0037003970040963,1271.2369981046531,1925.2697913626569
psi_b_sd,rate_defensive_duels_won,0.1206880287905,0.1154278,0.03198939232974834,0.08019895225,0.179696485,0.10391204959712923,0.016775979193370774,1.0017167915055367,1403.3594097506837,2349.5868975228427
psi_b_sd,rate_offensive_duels_won,0.15681679270725,0.14957227499999998,0.03999495872684254,0.105604858,0.22927308599999993,0.1063726402982138,0.050444152409036186,1.003642817529535,1351.9943368693062,2199.9937252676827
psi_b_sd,rate_aerial_duels_won,0.12777919615225,0.121195355,0.03540049819589,0.0828389488,0.194403366,0.19265628041233868,-0.06487708426008867,1.0035901804953125,1233.7520154588144,2232.0004556977465
psi_b_sd,rate_dribbles_against_won,0.114110968682,0.108687095,0.03056119821597639,0.07467029605,0.17079198699999995,0.1636776291183196,-0.04956666043631959,1.0013160117352151,1635.557669533449,2216.0957812431693
psi_b_sd,rate_successful_sliding_tackles,0.2340374481215,0.221648095,0.08133200928568653,0.124907025,0.3916737725,0.22506760247517377,0.008969845646326247,1.029238007839027,208.77970198459693,903.2158009852884
psi_b_sd,per90_fouls,0.349327759045,0.338485305,0.07579782079872756,0.246929942,0.490039773,0.24734626906691118,0.10198148997808884,1.0009955919286628,1661.4363713963,2226.0225429828306
psi_b_sd,per90_fouls_suffered,0.18615222429225,0.17824541,0.0492939405571506,0.1221563925,0.2768470385,0.14193330643931404,0.04421891785293597,1.035437587191333,135.98745442933182,1261.6194063726834
psi_b_sd,per90_yellow_cards,0.069797107095,0.06619330000000001,0.02017165031048676,0.0445615334,0.10708393099999997,0.08535851109772921,-0.015561404002729207,1.001206347784355,1427.9813030308278,2118.060762143279
sigma_epsilon_sd,per90_goals,0.390426448925,0.390362885,0.00489358980302249,0.382212975,0.3985451375,0.39022950173821297,1.9694718678703316e-4,1.012706310501258,708.0195182562236,3361.970162281848
